ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
701,config_disable,,,127.0.0.1,http://www.wd.com,admin,Config,editstatus,json,"{""batch_data"":[{""id"":""1"",""module"":""admin"",""name"":""web_site_status"",""title"":""站点开关"",""group"":""base"",""type"":""开关"",""value"":""1"",""options"":""[]"",""tips"":""站点关闭后将不能访问，后台可正常登录"",""ajax_url"":"""",""format"":"""",""option"":"""",""create_time"":""1475240395"",""update_time"":""1574057049"",""sort"":""1"",""status"":""2"",""asdasd"":""true""}],""action"":""enable""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/config\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '812',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'batch_data' => \n  array (\n    0 => \n    array (\n      'id' => '1',\n      'module' => 'admin',\n      'name' => 'web_site_status',\n      'title' => '站点开关',\n      'group' => 'base',\n      'type' => '开关',\n      'value' => '1',\n      'options' => '[]',\n      'tips' => '站点关闭后将不能访问，后台可正常登录',\n      'ajax_url' => '',\n      'format' => '',\n      'option' => '',\n      'create_time' => '1475240395',\n      'update_time' => '1574057049',\n      'sort' => '1',\n      'status' => '2',\n      'asdasd' => 'true',\n    ),\n  ),\n  'action' => 'enable',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000771s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_config` [ RunTime:0.005696s ]"",""[ SQL ] UPDATE `dp_admin_config`  SET `status` = 1  WHERE  `id` IN (1) [ RunTime:0.000341s ]""]}",1574552997
702,hook_status,,,127.0.0.1,http://www.wd.com,admin,Hook,editstatus,json,"{""batch_data"":[{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""1"",""asdasd"":""true""}],""action"":""enable""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '382',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'batch_data' => \n  array (\n    0 => \n    array (\n      'id' => '19',\n      'name' => 'my_hook',\n      'plugin' => 'HelloWorld',\n      'description' => '我的钩子',\n      'system' => '0',\n      'create_time' => '1569921080',\n      'update_time' => '1569921080',\n      'status' => '1',\n      'asdasd' => 'true',\n    ),\n  ),\n  'action' => 'enable',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010740s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.007145s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `status` = 1  WHERE  `id` IN (19) [ RunTime:0.000400s ]""]}",1574557117
703,hook_status,,,127.0.0.1,http://www.wd.com,admin,Hook,editstatus,json,"{""batch_data"":[{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""1"",""asdasd"":""true""}],""action"":""disable""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '383',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'batch_data' => \n  array (\n    0 => \n    array (\n      'id' => '19',\n      'name' => 'my_hook',\n      'plugin' => 'HelloWorld',\n      'description' => '我的钩子',\n      'system' => '0',\n      'create_time' => '1569921080',\n      'update_time' => '1569921080',\n      'status' => '1',\n      'asdasd' => 'true',\n    ),\n  ),\n  'action' => 'disable',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010773s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.007141s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `status` = 2  WHERE  `id` IN (19) [ RunTime:0.000329s ]""]}",1574557121
704,hook_status,,,127.0.0.1,http://www.wd.com,admin,Hook,editstatus,json,"{""batch_data"":[{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""2"",""asdasd"":""true""}],""action"":""enable""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '382',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'batch_data' => \n  array (\n    0 => \n    array (\n      'id' => '19',\n      'name' => 'my_hook',\n      'plugin' => 'HelloWorld',\n      'description' => '我的钩子',\n      'system' => '0',\n      'create_time' => '1569921080',\n      'update_time' => '1569921080',\n      'status' => '2',\n      'asdasd' => 'true',\n    ),\n  ),\n  'action' => 'enable',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010264s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.006174s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `status` = 1  WHERE  `id` IN (19) [ RunTime:0.000377s ]""]}",1574557127
705,hook_status,,,127.0.0.1,http://www.wd.com,admin,Hook,editstatus,json,"{""batch_data"":[{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""1"",""asdasd"":""true""}],""action"":""disable""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '383',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'batch_data' => \n  array (\n    0 => \n    array (\n      'id' => '19',\n      'name' => 'my_hook',\n      'plugin' => 'HelloWorld',\n      'description' => '我的钩子',\n      'system' => '0',\n      'create_time' => '1569921080',\n      'update_time' => '1569921080',\n      'status' => '1',\n      'asdasd' => 'true',\n    ),\n  ),\n  'action' => 'disable',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000680s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.006261s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `status` = 2  WHERE  `id` IN (19) [ RunTime:0.000312s ]""]}",1574557129
706,hook_edit,,,127.0.0.1,http://www.wd.com,admin,Hook,edit,json,"{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""1"",""extend_field"":""status"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '188',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '19',\n  'name' => 'my_hook',\n  'plugin' => 'HelloWorld',\n  'description' => '我的钩子',\n  'system' => '0',\n  'create_time' => '1569921080',\n  'update_time' => '1569921080',\n  'status' => '1',\n  'extend_field' => 'status',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.001033s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.008461s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `name` = 'my_hook' , `plugin` = 'HelloWorld' , `description` = '我的钩子' , `system` = 0 , `create_time` = 1569921080 , `update_time` = 1569921080 , `status` = 1  WHERE  `id` = 19 [ RunTime:0.000332s ]""]}",1574558162
707,hook_edit,,,127.0.0.1,http://www.wd.com,admin,Hook,edit,json,"{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""2"",""extend_field"":""status"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '188',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '19',\n  'name' => 'my_hook',\n  'plugin' => 'HelloWorld',\n  'description' => '我的钩子',\n  'system' => '0',\n  'create_time' => '1569921080',\n  'update_time' => '1569921080',\n  'status' => '2',\n  'extend_field' => 'status',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000879s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.007641s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `name` = 'my_hook' , `plugin` = 'HelloWorld' , `description` = '我的钩子' , `system` = 0 , `create_time` = 1569921080 , `update_time` = 1569921080 , `status` = 2  WHERE  `id` = 19 [ RunTime:0.000428s ]""]}",1574558164
708,hook_edit,,,127.0.0.1,http://www.wd.com,admin,Hook,edit,json,"{""id"":""19"",""name"":""my_hook"",""plugin"":""HelloWorld"",""description"":""我的钩子"",""system"":""0"",""create_time"":""1569921080"",""update_time"":""1569921080"",""status"":""1"",""extend_field"":""status"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Hook\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '188',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '19',\n  'name' => 'my_hook',\n  'plugin' => 'HelloWorld',\n  'description' => '我的钩子',\n  'system' => '0',\n  'create_time' => '1569921080',\n  'update_time' => '1569921080',\n  'status' => '1',\n  'extend_field' => 'status',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011628s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_hook` [ RunTime:0.005802s ]"",""[ SQL ] UPDATE `dp_admin_hook`  SET `name` = 'my_hook' , `plugin` = 'HelloWorld' , `description` = '我的钩子' , `system` = 0 , `create_time` = 1569921080 , `update_time` = 1569921080 , `status` = 1  WHERE  `id` = 19 [ RunTime:0.000303s ]""]}",1574558165
709,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,json,"{""id"":""212"",""action"":""delete""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '20',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '212',\n  'action' => 'delete',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000890s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.008604s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 212 LIMIT 1 [ RunTime:0.000382s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 212 [ RunTime:0.000392s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (212) [ RunTime:0.000336s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 212 [ RunTime:0.000439s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.006197s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000308s ]""]}",1574574448
710,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""70"",""pid"":""2"",""module"":""admin"",""title"":""后台首页"",""mark"":""home_quick_index"",""icon"":""fa fa-fw fa-tachometer"",""url_type"":"""",""url_value"":""admin\/index\/index"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""1"",""system_menu"":""0"",""status"":""1"",""create_time"":""1476237472"",""update_time"":""1568614537"",""_level"":""2"",""extend_field"":""mark"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index\/group\/admin.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '316',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '70',\n  'pid' => '2',\n  'module' => 'admin',\n  'title' => '后台首页',\n  'mark' => 'home_quick_index',\n  'icon' => 'fa fa-fw fa-tachometer',\n  'url_type' => '',\n  'url_value' => 'admin\/index\/index',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '1',\n  'system_menu' => '0',\n  'status' => '1',\n  'create_time' => '1476237472',\n  'update_time' => '1568614537',\n  '_level' => '2',\n  'extend_field' => 'mark',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011571s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.008610s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'home_quick_index'  AND `id` <> 70 LIMIT 1 [ RunTime:0.000388s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 70 LIMIT 1 [ RunTime:0.000328s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `mark` = 'home_quick_index'  WHERE  `id` = 70 [ RunTime:0.000393s ]""]}",1574574603
