ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
981,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7455"",""title"":""关联规格"",""mark"":""b2b2c_goods_spec_spec"",""url_value"":""b2b2c\/spec\/spec"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7455&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryHhRd6pSA2vAWdcv4',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1228',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7455',\n  'title' => '关联规格',\n  'mark' => 'b2b2c_goods_spec_spec',\n  'url_value' => 'b2b2c\/spec\/spec',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011139s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006183s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_spec' LIMIT 1 [ RunTime:0.000398s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7455 , '关联规格' , 'b2b2c_goods_spec_spec' , 'b2b2c\/spec\/spec' , '' , '_self' , 0 , 1 , '' , 0 , 1575604933 , 1575604933) [ RunTime:0.000345s ]""]}",1575604933
982,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7462"",""title"":""取关"",""mark"":""b2b2c_goods_spec_spec_del"",""url_value"":""b2b2c\/spec\/specdel"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7462&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundary3SbgE78x6C916YfS',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1229',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7462',\n  'title' => '取关',\n  'mark' => 'b2b2c_goods_spec_spec_del',\n  'url_value' => 'b2b2c\/spec\/specdel',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011550s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006440s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_spec_del' LIMIT 1 [ RunTime:0.000454s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7462 , '取关' , 'b2b2c_goods_spec_spec_del' , 'b2b2c\/spec\/specdel' , '' , '_self' , 0 , 1 , '' , 0 , 1575604976 , 1575604976) [ RunTime:0.000500s ]""]}",1575604976
983,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7462"",""title"":""关联"",""mark"":""b2b2c_goods_spec_spec_add"",""url_value"":""b2b2c\/spec\/specadd"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7462&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundarym5KeSRCAJgqTIaWj',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1229',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7462',\n  'title' => '关联',\n  'mark' => 'b2b2c_goods_spec_spec_add',\n  'url_value' => 'b2b2c\/spec\/specadd',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011086s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.021411s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_spec_add' LIMIT 1 [ RunTime:0.000376s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7462 , '关联' , 'b2b2c_goods_spec_spec_add' , 'b2b2c\/spec\/specadd' , '' , '_self' , 0 , 1 , '' , 0 , 1575604998 , 1575604998) [ RunTime:0.000279s ]""]}",1575604997
984,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7455"",""title"":""设置自定义属性"",""mark"":""b2b2c_goods_spec_custom"",""url_value"":""b2b2c\/spec\/custom"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7455&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryvU653bSvk7uDByKW',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1241',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7455',\n  'title' => '设置自定义属性',\n  'mark' => 'b2b2c_goods_spec_custom',\n  'url_value' => 'b2b2c\/spec\/custom',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011651s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006117s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_custom' LIMIT 1 [ RunTime:0.000446s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7455 , '设置自定义属性' , 'b2b2c_goods_spec_custom' , 'b2b2c\/spec\/custom' , '' , '_self' , 0 , 1 , '' , 0 , 1575605136 , 1575605136) [ RunTime:0.000288s ]""]}",1575605136
985,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""7465"",""module"":""b2b2c"",""pid"":""7455"",""title"":""自定义属性"",""mark"":""b2b2c_goods_spec_custom"",""url_value"":""b2b2c\/spec\/custom"",""params"":"""",""url_target"":""_self"",""is_hide"":""1"",""icon"":"""",""sort"":""0"",""remarks"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/edit.html?id=7465',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryIuJzqbEHlL239S0o',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1230',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '7465',\n  'module' => 'b2b2c',\n  'pid' => '7455',\n  'title' => '自定义属性',\n  'mark' => 'b2b2c_goods_spec_custom',\n  'url_value' => 'b2b2c\/spec\/custom',\n  'params' => '',\n  'url_target' => '_self',\n  'is_hide' => '1',\n  'icon' => '',\n  'sort' => '0',\n  'remarks' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011692s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006229s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_custom'  AND `id` <> 7465 LIMIT 1 [ RunTime:0.000536s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 7465  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000486s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 7465  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000389s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `id` = 7465 , `module` = 'b2b2c' , `pid` = 7455 , `title` = '自定义属性' , `mark` = 'b2b2c_goods_spec_custom' , `url_value` = 'b2b2c\/spec\/custom' , `params` = '' , `url_target` = '_self' , `is_hide` = 1 , `icon` = '' , `sort` = 0  WHERE  `id` = 7465  AND `module` = 'b2b2c' [ RunTime:0.001784s ]""]}",1575605149
986,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7465"",""title"":""编辑"",""mark"":""b2b2c_goods_spec_custom_edit"",""url_value"":""b2b2c\/spec\/customedit"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7465&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundarys6xt6AoYnExX7zkK',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1235',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7465',\n  'title' => '编辑',\n  'mark' => 'b2b2c_goods_spec_custom_edit',\n  'url_value' => 'b2b2c\/spec\/customedit',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000805s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006213s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_custom_edit' LIMIT 1 [ RunTime:0.000448s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7465 , '编辑' , 'b2b2c_goods_spec_custom_edit' , 'b2b2c\/spec\/customedit' , '' , '_self' , 0 , 1 , '' , 0 , 1575611940 , 1575611940) [ RunTime:0.000345s ]""]}",1575611940
987,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7465"",""title"":""新增"",""mark"":""b2b2c_goods_spec_custom_add"",""url_value"":""b2b2c\/spec\/customadd"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7465&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryQIaMCq0w1v5Lq8je',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1233',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7465',\n  'title' => '新增',\n  'mark' => 'b2b2c_goods_spec_custom_add',\n  'url_value' => 'b2b2c\/spec\/customadd',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011312s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006344s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_custom_add' LIMIT 1 [ RunTime:0.000511s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7465 , '新增' , 'b2b2c_goods_spec_custom_add' , 'b2b2c\/spec\/customadd' , '' , '_self' , 0 , 1 , '' , 0 , 1575611962 , 1575611962) [ RunTime:0.000506s ]""]}",1575611962
988,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7465"",""title"":""删除"",""mark"":""b2b2c_goods_spec_custom_del"",""url_value"":""b2b2c\/spec\/customdel"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7465&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryDC8tu0yqq94Zmelm',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1233',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7465',\n  'title' => '删除',\n  'mark' => 'b2b2c_goods_spec_custom_del',\n  'url_value' => 'b2b2c\/spec\/customdel',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011491s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007284s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_spec_custom_del' LIMIT 1 [ RunTime:0.000434s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7465 , '删除' , 'b2b2c_goods_spec_custom_del' , 'b2b2c\/spec\/customdel' , '' , '_self' , 0 , 1 , '' , 0 , 1575611988 , 1575611988) [ RunTime:0.000375s ]""]}",1575611988
989,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""7459"",""module"":""b2b2c"",""pid"":""7455"",""title"":""关联品牌"",""mark"":""b2b2c_goods_type_brand"",""url_value"":""b2b2c\/type\/brand"",""params"":"""",""url_target"":""_self"",""is_hide"":""1"",""icon"":"""",""sort"":""0"",""remarks"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/edit.html?id=7459',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryNw20SWBorj5gYYDr',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1225',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '7459',\n  'module' => 'b2b2c',\n  'pid' => '7455',\n  'title' => '关联品牌',\n  'mark' => 'b2b2c_goods_type_brand',\n  'url_value' => 'b2b2c\/type\/brand',\n  'params' => '',\n  'url_target' => '_self',\n  'is_hide' => '1',\n  'icon' => '',\n  'sort' => '0',\n  'remarks' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010831s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006534s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_type_brand'  AND `id` <> 7459 LIMIT 1 [ RunTime:0.000446s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 7459  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000422s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 7459  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000268s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `id` = 7459 , `module` = 'b2b2c' , `pid` = 7455 , `title` = '关联品牌' , `mark` = 'b2b2c_goods_type_brand' , `url_value` = 'b2b2c\/type\/brand' , `params` = '' , `url_target` = '_self' , `is_hide` = 1 , `icon` = '' , `sort` = 0  WHERE  `id` = 7459  AND `module` = 'b2b2c' [ RunTime:0.001694s ]""]}",1575614734
990,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""7459"",""module"":""b2b2c"",""pid"":""7451"",""title"":""关联品牌"",""mark"":""b2b2c_goods_type_brand"",""url_value"":""b2b2c\/type\/brand"",""params"":"""",""url_target"":""_self"",""is_hide"":""1"",""icon"":"""",""sort"":""0"",""remarks"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/edit.html?id=7459',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryU20wylvUEGT7TH6r',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1225',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '7459',\n  'module' => 'b2b2c',\n  'pid' => '7451',\n  'title' => '关联品牌',\n  'mark' => 'b2b2c_goods_type_brand',\n  'url_value' => 'b2b2c\/type\/brand',\n  'params' => '',\n  'url_target' => '_self',\n  'is_hide' => '1',\n  'icon' => '',\n  'sort' => '0',\n  'remarks' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010770s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.016059s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_type_brand'  AND `id` <> 7459 LIMIT 1 [ RunTime:0.000503s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 7459  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000440s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 7459  AND `module` = 'b2b2c' LIMIT 1 [ RunTime:0.000363s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `id` = 7459 , `module` = 'b2b2c' , `pid` = 7451 , `title` = '关联品牌' , `mark` = 'b2b2c_goods_type_brand' , `url_value` = 'b2b2c\/type\/brand' , `params` = '' , `url_target` = '_self' , `is_hide` = 1 , `icon` = '' , `sort` = 0  WHERE  `id` = 7459  AND `module` = 'b2b2c' [ RunTime:0.001802s ]""]}",1575614765
